,AUC-ROC,F1-Score,Precision,Recall,PR-AUC,Train Time (s)
XGBoost,0.6393223360795214,0.2589078642209572,0.1702009702009702,0.5407309555261999,0.20423408980226815,2.02
Logistic Regression,0.6376270774260723,0.25133007022770804,0.16570787147467378,0.520035226772347,0.20257890824201388,4.89
Random Forest,0.6351524150242422,0.03155650319829424,0.5,0.016292382210479964,0.18979558857283665,8.67
Neural Network (MLP),0.5832277889465485,0.16643356643356644,0.17682020802377416,0.1571994715984148,0.15299362049898602,39.38
